slug	name	catalogue_status	death_year_before	death_year_after	result	checked_at	ndl_query_url	ndl_hit_count	web_queries	evidence_urls	note
kasai-takechiyo	葛西 猛千代	active		1951	death_supported	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=%E8%91%9B%E8%A5%BF%E7%8C%9B%E5%8D%83%E4%BB%A3&g=personalNames&num=100	1	"""葛西猛千代"" (訃報 OR 死去 OR 逝去 OR 生没年)"	https://id.ndl.go.jp/auth/ndlna/00027000	—
katarina-sjoberg	Katarina Sjoberg	active			death_not_established	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=Katarina%20Sjoberg&g=personalNames&num=100	0	"""Katarina Sjoberg"" (obituary OR died OR ""passed away"")"		—
katayama-hiroko	片山 弘子	active			death_not_established	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=%E7%89%87%E5%B1%B1%E5%BC%98%E5%AD%90&g=personalNames&num=100	1	"""片山弘子"" (訃報 OR 死去 OR 逝去 OR 生没年)"		—
katayama-tatsumine	片山 龍峯	active		2004	death_supported	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=%E7%89%87%E5%B1%B1%E9%BE%8D%E5%B3%AF&g=personalNames&num=100	1	"""片山龍峯"" (訃報 OR 死去 OR 逝去 OR 生没年)"	https://www.chikumashobo.co.jp/author/5092/	—
kato-daiki	加藤 大樹	active			death_not_established	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=%E5%8A%A0%E8%97%A4%E5%A4%A7%E6%A8%B9&g=personalNames&num=100	2	"""加藤大樹"" (訃報 OR 死去 OR 逝去 OR 生没年)"		—
kato-hyakuichi	加藤 百一	active			death_not_established	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=%E5%8A%A0%E8%97%A4%E7%99%BE%E4%B8%80&g=personalNames&num=100	1	"""加藤百一"" (訃報 OR 死去 OR 逝去 OR 生没年)"		—
kato-masaru	加藤克	active			death_not_established	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=%E5%8A%A0%E8%97%A4%E5%85%8B&g=personalNames&num=100	15	"""加藤克"" (訃報 OR 死去 OR 逝去 OR 生没年)"		—
kato-tetsusaburo	加藤 鉄三郎	active			death_not_established	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=%E5%8A%A0%E8%97%A4%E9%89%84%E4%B8%89%E9%83%8E&g=personalNames&num=100	1	"""加藤鉄三郎"" (訃報 OR 死去 OR 逝去 OR 生没年)"		—
kawai-raseki	河合 裸石	active	1941	1941	existing_death_matches_wikidata	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=%E6%B2%B3%E5%90%88%E8%A3%B8%E7%9F%B3&g=personalNames&num=100	1		https://www.wikidata.org/wiki/Q126006923	—
kawakami-jun	川上 淳	active			death_not_established	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=%E5%B7%9D%E4%B8%8A%E6%B7%B3&g=personalNames&num=100	4	"""川上淳"" (訃報 OR 死去 OR 逝去 OR 生没年)"		—
kawakami-matsuko	川上 まつ子	active	1988	1988	death_supported	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=%E5%B7%9D%E4%B8%8A%E3%81%BE%E3%81%A4%E5%AD%90&g=personalNames&num=100	1		https://www.hm.pref.hokkaido.lg.jp/wp-content/uploads/2025/01/bulletin_ACRC_vol6_02_p051_059.pdf	—
kawakami-megumi	川上 恵	active			death_not_established	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=%E5%B7%9D%E4%B8%8A%E6%81%B5&g=personalNames&num=100	5	"""川上恵"" (訃報 OR 死去 OR 逝去 OR 生没年)"		—
kawakami-yoko	川上 容子	active			death_not_established	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=%E5%B7%9D%E4%B8%8A%E5%AE%B9%E5%AD%90&g=personalNames&num=100	0	"""川上容子"" (訃報 OR 死去 OR 逝去 OR 生没年)"		—
kawakami-yuji	川上 勇治	active	2004	2004	death_supported	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=%E5%B7%9D%E4%B8%8A%E5%8B%87%E6%B2%BB&g=personalNames&num=100	1		https://akarenga-exhibitionguide.pref.hokkaido.lg.jp/archives/predecessors/45/	—
kawamura-minato	川村 湊	active			death_not_established	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=%E5%B7%9D%E6%9D%91%E6%B9%8A&g=personalNames&num=100	1	"""川村湊"" (訃報 OR 死去 OR 逝去 OR 生没年)"		—
kayano-shigeru	萱野 茂	active	2006	2006	existing_death_matches_wikidata	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=%E8%90%B1%E9%87%8E%E8%8C%82&g=personalNames&num=100	1		https://www.wikidata.org/wiki/Q290222	—
kayano-shiro	萱野 志朗	active			death_not_established	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=%E8%90%B1%E9%87%8E%E5%BF%97%E6%9C%97&g=personalNames&num=100	1	"""萱野志朗"" (訃報 OR 死去 OR 逝去 OR 生没年)"		—
kazama-shinjiro	風間 伸次郎	active			death_not_established	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=%E9%A2%A8%E9%96%93%E4%BC%B8%E6%AC%A1%E9%83%8E&g=personalNames&num=100	1	"""風間伸次郎"" (訃報 OR 死去 OR 逝去 OR 生没年)"		—
kazuyuki-tanimoto	谷本 一之	active	2009	2009	existing_death_matches_wikidata	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=%E8%B0%B7%E6%9C%AC%E4%B8%80%E4%B9%8B&g=personalNames&num=100	1		https://www.wikidata.org/wiki/Q11632936	—
keci	ケチ	active			death_not_established	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=%E3%82%B1%E3%83%81&g=personalNames&num=100	0	"""ケチ"" (訃報 OR 死去 OR 逝去 OR 生没年)"		—
keira-mitsunori	計良 光範	active	2015	2015	death_supported	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=%E8%A8%88%E8%89%AF%E5%85%89%E7%AF%84&g=personalNames&num=100	1		https://minami13.blog.fc2.com/blog-entry-1970.html	—
keira-tomoko	計良 智子	active	2016	2016	existing_death_matches_wikidata	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=%E8%A8%88%E8%89%AF%E6%99%BA%E5%AD%90&g=personalNames&num=100	1		https://www.wikidata.org/wiki/Q124738260	—
kenji-araki	荒木健治	active			death_not_established	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=%E8%8D%92%E6%9C%A8%E5%81%A5%E6%B2%BB&g=personalNames&num=100	1	"""荒木健治"" (訃報 OR 死去 OR 逝去 OR 生没年)"		—
kido-shirabe	木戸 調	active			death_not_established	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=%E6%9C%A8%E6%88%B8%E8%AA%BF&g=personalNames&num=100	0	"""木戸調"" (訃報 OR 死去 OR 逝去 OR 生没年)"		—
kimura-jun	木村 純	active			death_not_established	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=%E6%9C%A8%E6%9D%91%E7%B4%94&g=personalNames&num=100	14	"""木村純"" (訃報 OR 死去 OR 逝去 OR 生没年)"		—
kimura-kimi	木村 きみ	active	1988	1988	death_supported	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=%E6%9C%A8%E6%9D%91%E3%81%8D%E3%81%BF&g=personalNames&num=100	2		https://www.ff-ainu.or.jp/about/files/H24%E8%AC%9B%E6%BC%94%E4%BC%9A%E3%80%80%E8%AC%9B%E6%BC%94%E9%8C%B2%EF%BC%88%E6%9C%AD%E5%B9%8C%EF%BC%89%E4%B8%AD%E5%B7%9D%E8%A3%95.pdf	—
kimura-rino	木村 梨乃	active			death_not_established	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=%E6%9C%A8%E6%9D%91%E6%A2%A8%E4%B9%83&g=personalNames&num=100	0	"""木村梨乃"" (訃報 OR 死去 OR 逝去 OR 生没年)"		—
kimura-taeko	木村 多栄子	active			death_not_established	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=%E6%9C%A8%E6%9D%91%E5%A4%9A%E6%A0%84%E5%AD%90&g=personalNames&num=100	0	"""木村多栄子"" (訃報 OR 死去 OR 逝去 OR 生没年)"		—
kindaichi-kyosuke	金田一 京助	active	1971	1971	existing_death_matches_wikidata	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=%E9%87%91%E7%94%B0%E4%B8%80%E4%BA%AC%E5%8A%A9&g=personalNames&num=100	1		https://www.wikidata.org/wiki/Q1036885	—
kinoshita-junji	木下 順二	active	2006	2006	existing_death_matches_wikidata	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=%E6%9C%A8%E4%B8%8B%E9%A0%86%E4%BA%8C&g=personalNames&num=100	3		https://www.wikidata.org/wiki/Q552579	—
kirikae-hideo	切替 英雄	active		2021	death_supported	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=%E5%88%87%E6%9B%BF%E8%8B%B1%E9%9B%84&g=personalNames&num=100	1	"""切替英雄"" (訃報 OR 死去 OR 逝去 OR 生没年)"	https://doi.org/10.1163/25898833-12340047	—
kirsten-refsing	Kirsten Refsing	active		2023	death_supported	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=Kirsten%20Refsing&g=personalNames&num=100	1	"""Kirsten Refsing"" (obituary OR died OR ""passed away"")"	https://pressto.amu.edu.pl/index.php/linpo/article/view/46190	—
kirsten-yumiko-taguchi	Kirsten Yumiko Taguchi	active			death_not_established	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=Kirsten%20Yumiko%20Taguchi&g=personalNames&num=100	0	"""Kirsten Yumiko Taguchi"" (obituary OR died OR ""passed away"")"		—
kishimoto-suigetsu	岸本 翠月	active		1979	death_supported	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=%E5%B2%B8%E6%9C%AC%E7%BF%A0%E6%9C%88&g=personalNames&num=100	1	"""岸本翠月"" (訃報 OR 死去 OR 逝去 OR 生没年)"	https://id.ndl.go.jp/auth/ndlna/00031847	—
kishimoto-yoshihisa	岸本 宜久	active			death_not_established	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=%E5%B2%B8%E6%9C%AC%E5%AE%9C%E4%B9%85&g=personalNames&num=100	0	"""岸本宜久"" (訃報 OR 死去 OR 逝去 OR 生没年)"		—
kita-sadakichi	喜田 貞吉	active	1939	1939	existing_death_matches_wikidata	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=%E5%96%9C%E7%94%B0%E8%B2%9E%E5%90%89&g=personalNames&num=100	1		https://www.wikidata.org/wiki/Q11419225	—
kitakaze-isokichi	北風 磯吉	active		1969	death_supported	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=%E5%8C%97%E9%A2%A8%E7%A3%AF%E5%90%89&g=personalNames&num=100	0	"""北風磯吉"" (訃報 OR 死去 OR 逝去 OR 生没年)"	https://kotobank.jp/word/北風磯吉-1069251	—
kiyono-kenji	清野 謙次	active	1955	1955	existing_death_matches_wikidata	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=%E6%B8%85%E9%87%8E%E8%AC%99%E6%AC%A1&g=personalNames&num=100	1		https://www.wikidata.org/wiki/Q11561436	—
kiyoteru-tsutsui	Kiyoteru Tsutsui	active			death_not_established	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=Kiyoteru%20Tsutsui&g=personalNames&num=100	1	"""Kiyoteru Tsutsui"" (obituary OR died OR ""passed away"")"		—
klara-chuda	フダー・クラーラ	active			death_not_established	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=%E3%83%95%E3%83%80%E3%83%BC%E3%83%BB%E3%82%AF%E3%83%A9%E3%83%BC%E3%83%A9&g=personalNames&num=100	0	"""フダー・クラーラ"" (訃報 OR 死去 OR 逝去 OR 生没年)"		—
kobayashi-koji	小林 孝二	active			death_not_established	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=%E5%B0%8F%E6%9E%97%E5%AD%9D%E4%BA%8C&g=personalNames&num=100	1	"""小林孝二"" (訃報 OR 死去 OR 逝去 OR 生没年)"		—
kobayashi-masao	小林 正雄	active			death_unconfirmed_identity_review	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=%E5%B0%8F%E6%9E%97%E6%AD%A3%E9%9B%84&g=personalNames&num=100	9	"""小林正雄"" (訃報 OR 死去 OR 逝去 OR 生没年)"		NDL00033225の郷土史家（1916年生）。1893–1969年の同名人物と区別。
kobayashi-miki	小林 美紀	active			death_not_established	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=%E5%B0%8F%E6%9E%97%E7%BE%8E%E7%B4%80&g=personalNames&num=100	4	"""小林美紀"" (訃報 OR 死去 OR 逝去 OR 生没年)"		—
kochi-rie	甲地 利恵	active			death_not_established	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=%E7%94%B2%E5%9C%B0%E5%88%A9%E6%81%B5&g=personalNames&num=100	1	"""甲地利恵"" (訃報 OR 死去 OR 逝去 OR 生没年)"		—
kohama-mototsugu	小浜 基次	active		1970	death_supported	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=%E5%B0%8F%E6%B5%9C%E5%9F%BA%E6%AC%A1&g=personalNames&num=100	1	"""小浜基次"" (訃報 OR 死去 OR 逝去 OR 生没年)"	https://id.ndl.go.jp/auth/ndlna/00755353	—
kohei-matsuura	Kohei Matsuura	active			death_not_established	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=Kohei%20Matsuura&g=personalNames&num=100	1	"""Kohei Matsuura"" (obituary OR died OR ""passed away"")"		—
koji-maeda	前田 耕司	active			death_not_established	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=%E5%89%8D%E7%94%B0%E8%80%95%E5%8F%B8&g=personalNames&num=100	1	"""前田耕司"" (訃報 OR 死去 OR 逝去 OR 生没年)"		—
koji-tochinai	栃内 香次	active			death_not_established	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=%E6%A0%83%E5%86%85%E9%A6%99%E6%AC%A1&g=personalNames&num=100	1	"""栃内香次"" (訃報 OR 死去 OR 逝去 OR 生没年)"		—
kojima-kyoko	児島 恭子	active			death_not_established	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=%E5%85%90%E5%B3%B6%E6%81%AD%E5%AD%90&g=personalNames&num=100	1	"""児島恭子"" (訃報 OR 死去 OR 逝去 OR 生没年)"		—
komatsu-kazuhiro	小松 和弘	active			death_not_established	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=%E5%B0%8F%E6%9D%BE%E5%92%8C%E5%BC%98&g=personalNames&num=100	1	"""小松和弘"" (訃報 OR 死去 OR 逝去 OR 生没年)"		—
komatsu-tetsuro	小松 哲郎	active			death_not_established	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=%E5%B0%8F%E6%9D%BE%E5%93%B2%E9%83%8E&g=personalNames&num=100	2	"""小松哲郎"" (訃報 OR 死去 OR 逝去 OR 生没年)"		—
kondo-kyojiro	近藤 鏡二郎	active	1975	1975	existing_death_matches_wikidata	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=%E8%BF%91%E8%97%A4%E9%8F%A1%E4%BA%8C%E9%83%8E&g=personalNames&num=100	1		https://www.wikidata.org/wiki/Q134509016	—
kondo-shiro	近藤 四郎	active	2003	2003	existing_death_matches_wikidata	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=%E8%BF%91%E8%97%A4%E5%9B%9B%E9%83%8E&g=personalNames&num=100	4		https://www.wikidata.org/wiki/Q24445162	—
kono-hiromichi	河野 広道	active	1963	1963	existing_death_matches_wikidata	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=%E6%B2%B3%E9%87%8E%E5%BA%83%E9%81%93&g=personalNames&num=100	1		https://www.wikidata.org/wiki/Q5770576	—
kono-motomichi	河野 本道	active	2015	2015	existing_death_matches_wikidata	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=%E6%B2%B3%E9%87%8E%E6%9C%AC%E9%81%93&g=personalNames&num=100	1		https://www.wikidata.org/wiki/Q11554218	—
kono-tsunekichi	河野 常吉	active	1930	1930	existing_death_matches_wikidata	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=%E6%B2%B3%E9%87%8E%E5%B8%B8%E5%90%89&g=personalNames&num=100	1		https://www.wikidata.org/wiki/Q11554192	—
kosaka-yosuke	小坂 洋右	active			death_not_established	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=%E5%B0%8F%E5%9D%82%E6%B4%8B%E5%8F%B3&g=personalNames&num=100	1	"""小坂洋右"" (訃報 OR 死去 OR 逝去 OR 生没年)"		—
koyama-shohei	小山 正平	active			death_not_established	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=%E5%B0%8F%E5%B1%B1%E6%AD%A3%E5%B9%B3&g=personalNames&num=100	1	"""小山正平"" (訃報 OR 死去 OR 逝去 OR 生没年)"		—
kruzenshtern-ivan-fedorovich-1770-1846	Kruzenshtern, Ivan Fedorovich, 1770-1846	active		1846	death_supported	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=Kruzenshtern%2C%20Ivan%20Fedorovich%2C%201770-1846&g=personalNames&num=100	1	"""Kruzenshtern, Ivan Fedorovich, 1770-1846"" (obituary OR died OR ""passed away"")"	https://id.ndl.go.jp/auth/ndlna/00446425	—
kubodera-itsuhiko	久保寺 逸彦	active	1971	1971	existing_death_matches_wikidata	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=%E4%B9%85%E4%BF%9D%E5%AF%BA%E9%80%B8%E5%BD%A6&g=personalNames&num=100	1		https://www.wikidata.org/wiki/Q11368989	—
kudo-masaki	工藤 雅樹	active	2010	2010	existing_death_matches_wikidata	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=%E5%B7%A5%E8%97%A4%E9%9B%85%E6%A8%B9&g=personalNames&num=100	1		https://www.wikidata.org/wiki/Q11479643	—
kumagai-kane	熊谷 カネ	active			death_not_established	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=%E7%86%8A%E8%B0%B7%E3%82%AB%E3%83%8D&g=personalNames&num=100	1	"""熊谷カネ"" (訃報 OR 死去 OR 逝去 OR 生没年)"		—
kunen	空念	active		1731	death_supported	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=%E7%A9%BA%E5%BF%B5&g=personalNames&num=100	2	"""空念"" (訃報 OR 死去 OR 逝去 OR 生没年)"	https://id.ndl.go.jp/auth/ndlna/01230875	—
kurokawa-teshime	黒川 てしめ	active		1973	death_supported	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=%E9%BB%92%E5%B7%9D%E3%81%A6%E3%81%97%E3%82%81&g=personalNames&num=100	0	"""黒川てしめ"" (訃報 OR 死去 OR 逝去 OR 生没年)"	https://eprints.lib.hokudai.ac.jp/dspace/bitstream/2115/73701/1/Tangiku20181106.pdf	—
kuwabayashi-kenji	桑林 賢治	active			death_not_established	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=%E6%A1%91%E6%9E%97%E8%B3%A2%E6%B2%BB&g=personalNames&num=100	0	"""桑林賢治"" (訃報 OR 死去 OR 逝去 OR 生没年)"		—
kuwanno	クワンノ	active			death_not_established	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=%E3%82%AF%E3%83%AF%E3%83%B3%E3%83%8E&g=personalNames&num=100	0	"""クワンノ"" (訃報 OR 死去 OR 逝去 OR 生没年)"		—
kuzuno-daiki	葛野 大喜	active			death_not_established	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=%E8%91%9B%E9%87%8E%E5%A4%A7%E5%96%9C&g=personalNames&num=100	0	"""葛野大喜"" (訃報 OR 死去 OR 逝去 OR 生没年)"		—
kuzuno-tatsujiro	葛野 辰次郎	active	2002	2002	existing_death_matches_wikidata	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=%E8%91%9B%E9%87%8E%E8%BE%B0%E6%AC%A1%E9%83%8E&g=personalNames&num=100	1		https://www.wikidata.org/wiki/Q11621028	—
kuzuno-tsugio	葛野 次雄	active			death_not_established	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=%E8%91%9B%E9%87%8E%E6%AC%A1%E9%9B%84&g=personalNames&num=100	0	"""葛野次雄"" (訃報 OR 死去 OR 逝去 OR 生没年)"		—
kylie-martin	Kylie Martin	active			death_not_established	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=Kylie%20Martin&g=personalNames&num=100	0	"""Kylie Martin"" (obituary OR died OR ""passed away"")"		—
kyoko-selden	Kyoko Selden	active		2013	death_supported	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=Kyoko%20Selden&g=personalNames&num=100	2	"""Kyoko Selden"" (obituary OR died OR ""passed away"")"	https://id.ndl.go.jp/auth/ndlna/00456058	—
loanwordbank-contributors	Loanwordbank contributors	active			death_not_established	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=Loanwordbank%20contributors&g=personalNames&num=100	0	"""Loanwordbank contributors"" (obituary OR died OR ""passed away"")"		—
m-m	M.M. ドブロトゥヴォールスキー	active		1874	death_supported	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=M.M.%20%E3%83%89%E3%83%96%E3%83%AD%E3%83%88%E3%82%A5%E3%83%B4%E3%82%A9%E3%83%BC%E3%83%AB%E3%82%B9%E3%82%AD%E3%83%BC&g=personalNames&num=100	0	"""M.M.ドブロトゥヴォールスキー"" (訃報 OR 死去 OR 逝去 OR 生没年)"	https://sakh-virtualmuseum.ru/dobrotvorskiy-mikhail-mikhaylovich	—
m-m-dobrotvorskii	M.M. Dobrotvorskii	active		1874	death_supported	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=M.M.%20Dobrotvorskii&g=personalNames&num=100	0	"""M.M. Dobrotvorskii"" (obituary OR died OR ""passed away"")"	https://sakh-virtualmuseum.ru/dobrotvorskiy-mikhail-mikhaylovich	—
ma-changcheng	馬 長城	active			death_not_established	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=%E9%A6%AC%E9%95%B7%E5%9F%8E&g=personalNames&num=100	0	"""馬長城"" (訃報 OR 死去 OR 逝去 OR 生没年)"		—
mae-masanao	前 正七生	active			death_not_established	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=%E5%89%8D%E6%AD%A3%E4%B8%83%E7%94%9F&g=personalNames&num=100	0	"""前正七生"" (訃報 OR 死去 OR 逝去 OR 生没年)"		—
maeda-manami	前田 愛美	active			death_not_established	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=%E5%89%8D%E7%94%B0%E6%84%9B%E7%BE%8E&g=personalNames&num=100	0	"""前田愛美"" (訃報 OR 死去 OR 逝去 OR 生没年)"		—
maekawa-fumio	前川文夫	active	1984	1984	existing_death_matches_wikidata	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=%E5%89%8D%E5%B7%9D%E6%96%87%E5%A4%AB&g=personalNames&num=100	2		https://www.wikidata.org/wiki/Q8963054	—
magata-tokumatsu	間方 徳松	active			death_not_established	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=%E9%96%93%E6%96%B9%E5%BE%B3%E6%9D%BE&g=personalNames&num=100	1	"""間方徳松"" (訃報 OR 死去 OR 逝去 OR 生没年)"		—
mara-miller	Mara Miller	active			death_not_established	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=Mara%20Miller&g=personalNames&num=100	0	"""Mara Miller"" (obituary OR died OR ""passed away"")"		—
mark-j-hudson	Mark J. Hudson	active			death_not_established	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=Mark%20J.%20Hudson&g=personalNames&num=100	1	"""Mark J. Hudson"" (obituary OR died OR ""passed away"")"		—
mark-k-watson	Mark K. Watson	active			death_not_established	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=Mark%20K.%20Watson&g=personalNames&num=100	0	"""Mark K. Watson"" (obituary OR died OR ""passed away"")"		—
mark-winchester	Mark Winchester	active			death_not_established	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=Mark%20Winchester&g=personalNames&num=100	1	"""Mark Winchester"" (obituary OR died OR ""passed away"")"		—
maruno-kazuko	丸野 和子	active			death_not_established	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=%E4%B8%B8%E9%87%8E%E5%92%8C%E5%AD%90&g=personalNames&num=100	0	"""丸野和子"" (訃報 OR 死去 OR 逝去 OR 生没年)"		—
maruyama-hiroshi	丸山 博	active			death_unconfirmed_identity_review	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=%E4%B8%B8%E5%B1%B1%E5%8D%9A&g=personalNames&num=100	15	"""丸山博"" (訃報 OR 死去 OR 逝去 OR 生没年)"		先住民族の権利の研究者。1909–1996年の同名衛生学者と区別。
masafumi-sakakihara	Masafumi Sakakihara	active			death_not_established	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=Masafumi%20Sakakihara&g=personalNames&num=100	1	"""Masafumi Sakakihara"" (obituary OR died OR ""passed away"")"		—
masato-mimura	Masato Mimura	active			death_not_established	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=Masato%20Mimura&g=personalNames&num=100	2	"""Masato Mimura"" (obituary OR died OR ""passed away"")"		—
masayuki-ueno	上野 昌之	active			death_not_established	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=%E4%B8%8A%E9%87%8E%E6%98%8C%E4%B9%8B&g=personalNames&num=100	1	"""上野昌之"" (訃報 OR 死去 OR 逝去 OR 生没年)"		—
masui-fumito	桝井 文人	active			death_not_established	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=%E6%A1%9D%E4%BA%95%E6%96%87%E4%BA%BA&g=personalNames&num=100	0	"""桝井文人"" (訃報 OR 死去 OR 逝去 OR 生没年)"		—
mathieu-eric	Mathieu Éric	active			death_not_established	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=Mathieu%20%C3%89ric&g=personalNames&num=100	0	"""Mathieu Éric"" (obituary OR died OR ""passed away"")"		—
matsui-tsuneyuki	松井 恒幸	active		1982	death_supported	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=%E6%9D%BE%E4%BA%95%E6%81%92%E5%B9%B8&g=personalNames&num=100	1	"""松井恒幸"" (訃報 OR 死去 OR 逝去 OR 生没年)"	https://id.ndl.go.jp/auth/ndlna/00103410	—
matsuki-akira	松木 明	active	1981	1981	existing_death_matches_wikidata	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=%E6%9D%BE%E6%9C%A8%E6%98%8E&g=personalNames&num=100	3		https://www.wikidata.org/wiki/Q30608995	—
matsumiya-kanzan	松宮 観山	active	1780	1780	existing_death_matches_wikidata	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=%E6%9D%BE%E5%AE%AE%E8%A6%B3%E5%B1%B1&g=personalNames&num=100	1		https://www.wikidata.org/wiki/Q6564980	—
matsumoto-narumi	松本 成美	active			death_not_established	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=%E6%9D%BE%E6%9C%AC%E6%88%90%E7%BE%8E&g=personalNames&num=100	1	"""松本成美"" (訃報 OR 死去 OR 逝去 OR 生没年)"		—
matsuna-takashi	松名 隆	active			death_not_established	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=%E6%9D%BE%E5%90%8D%E9%9A%86&g=personalNames&num=100	1	"""松名隆"" (訃報 OR 死去 OR 逝去 OR 生没年)"		—
