slug	name_before	name_after	kana_before	kana_after	latin_before	latin_after	status	note	sources_checked	next_step
p-12qbr50	都築 埴雅	都築 埴雅					catalogue-pass-only	登録著作のCiNiiメタデータ照合では採用できるかなを確認できなかった。個別調査は未完了。	https://cir.nii.ac.jp/crid/1521980705886915840 | https://cir.nii.ac.jp/crid/1522825130622720768	原著・著者紹介・所属機関資料を個別に調査する。
p-15p4zpg	鈴木 華織	鈴木 華織					catalogue-pass-only	登録著作のCiNiiメタデータ照合では採用できるかなを確認できなかった。個別調査は未完了。	https://cir.nii.ac.jp/crid/1390862080003894400 | https://cir.nii.ac.jp/crid/1520856893056781056	原著・著者紹介・所属機関資料を個別に調査する。
nishikiya-tadashi	錦谷 禎	錦谷 禎			Nishikiya Tadashi	Nishikiya Tadashi	further-research	この照合に使える登録著作のCiNii URLがない。かなの個別調査は未完了。		NDLの異表記、原著、著者紹介を調査する。
nabesawa-nepuki	鍋澤 ねぷき	鍋澤 ねぷき			Nabesawa Nepuki	Nabesawa Nepuki	further-research	この照合に使える登録著作のCiNii URLがない。かなの個別調査は未完了。		NDLの異表記、原著、著者紹介を調査する。
nagao-yuka	長尾 優花	長尾 優花			Nagao Yuka	Nagao Yuka	latin-evidence-only	同一著作のローマ字表記は確認したが、かな表記は未確認。	https://cir.nii.ac.jp/crid/1040867034530346624 | https://cir.nii.ac.jp/crid/1390585172429272576 | https://cir.nii.ac.jp/crid/1520863727630802816	本人または所属機関のかな表記を探す。
nagahama-seizo	長濱 清蔵	長濱 清蔵			Nagahama Seizō	Nagahama Seizō	further-research	この照合に使える登録著作のCiNii URLがない。かなの個別調査は未完了。		NDLの異表記、原著、著者紹介を調査する。
seki-masanori	關 政則	關 政則			Seki Masanori	Seki Masanori	further-research	この照合に使える登録著作のCiNii URLがない。かなの個別調査は未完了。		NDLの異表記、原著、著者紹介を調査する。
p-1ve2u2k	青木 茂治	青木 茂治					catalogue-pass-only	登録著作のCiNiiメタデータ照合では採用できるかなを確認できなかった。個別調査は未完了。	https://cir.nii.ac.jp/crid/1520572357280876800 | https://cir.nii.ac.jp/crid/1520572358768506240	原著・著者紹介・所属機関資料を個別に調査する。
p-1mjn4tu	高柳 茂	高柳 茂					catalogue-pass-only	登録著作のCiNiiメタデータ照合では採用できるかなを確認できなかった。個別調査は未完了。	https://cir.nii.ac.jp/crid/1520016494714447488 | https://cir.nii.ac.jp/crid/1520863483185375872	原著・著者紹介・所属機関資料を個別に調査する。
takahashi-shin	高橋 慎	高橋 慎			Takahashi Shin	Takahashi Shin	catalogue-pass-only	登録著作のCiNiiメタデータ照合では採用できるかなを確認できなかった。個別調査は未完了。	https://cir.nii.ac.jp/crid/1520021780000526464 | https://cir.nii.ac.jp/crid/1520303254977286400 | https://cir.nii.ac.jp/crid/1520870451793305472 | https://cir.nii.ac.jp/crid/1521417755973279744 | https://cir.nii.ac.jp/crid/1522262180190893696	原著・著者紹介・所属機関資料を個別に調査する。
takahashi-akiko	高橋 晶子	高橋 晶子			Akiko Takahashi	Akiko Takahashi	catalogue-pass-only	登録著作のCiNiiメタデータ照合では採用できるかなを確認できなかった。個別調査は未完了。	https://cir.nii.ac.jp/crid/1520018816290799232 | https://cir.nii.ac.jp/crid/1520303254977217536 | https://cir.nii.ac.jp/crid/1520304726069636224 | https://cir.nii.ac.jp/crid/1520572357062553472	原著・著者紹介・所属機関資料を個別に調査する。
p-12ak29f	高野 三代作	高野 三代作					further-research	この照合に使える登録著作のCiNii URLがない。かなの個別調査は未完了。		NDLの異表記、原著、著者紹介を調査する。
oni-haruto	鬼 春人	鬼 春人			Oni Haruto	Oni Haruto	further-research	この照合に使える登録著作のCiNii URLがない。かなの個別調査は未完了。		NDLの異表記、原著、著者紹介を調査する。
kurokawa-teshime	黒川 てしめ	黒川 てしめ			Kurokawa Teshime	Kurokawa Teshime	further-research	この照合に使える登録著作のCiNii URLがない。かなの個別調査は未完了。		NDLの異表記、原著、著者紹介を調査する。
