slug	name_before	name_after	kana_before	kana_after	latin_before	latin_after	status	sources	note
sentoku-taroji	千徳 太郎治	千徳 太郎治		せんとく たろうじ	Taroji Sentoku	Taroji Sentoku	verified-update	https://id.ndl.go.jp/auth/ndlna/00069939	姓名と生年が一致するNDL典拠の読み。
chiri-yukie	知里 幸恵	知里 幸恵		ちり ゆきえ	Chiri Yukie	Chiri Yukie	verified-update	https://id.ndl.go.jp/auth/ndlna/00084156	姓名と生年が一致するNDL典拠の読み。
hamada-takashi	浜田 隆史	浜田 隆史			Hamada Takashi	Hamada Takashi	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
yokoyama-hiroyuki	横山 裕之	横山 裕之			Yokoyama Hiroyuki	Yokoyama Hiroyuki	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
kanzaki-masayoshi	神崎 雅好	神崎 雅好			Kanzaki Masayoshi	Kanzaki Masayoshi	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
komatsu-kazuhiro	小松 和弘	小松 和弘		こまつ かずひろ	Komatsu Kazuhiro	Komatsu Kazuhiro	verified-update	https://id.ndl.go.jp/auth/ndlna/00254980	既存の人物同定で照合したNDL典拠の読み。
p-c4w1s9	瀬戸 成子	瀬戸 成子		せと しげこ		Seto Shigeko	verified-update	https://aynuitak.at-ninja.jp/ContentsESP.pdf	27号・39号の著者表記SETO Ŝigeko。
aihara-noriaki	相原 典明	相原 典明			Aihara Noriaki	Aihara Noriaki	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
matsumoto-narumi	松本 成美	松本 成美		まつもと しげよし	Matsumoto Narumi	Matsumoto Shigeyoshi	verified-update	https://aynuitak.at-ninja.jp/ContentsESP.pdf https://id.ndl.go.jp/auth/ndlna/00041827	アイヌタイムズ49号の追悼記事タイトルにMatsumoto Shigeyoshi。
nomoto-hisae	野本 久栄	野本 久栄			Nomoto Hisae	Nomoto Hisae	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
yoshimura-akio	吉村 明夫	吉村 明夫			Yoshimura Akio	Yoshimura Akio	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
akibe-hideo	秋辺 日出男	秋辺 日出男			Akibe Hideo	Akibe Hideo	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
ono-tetsuto	大野 徹人	大野 徹人		おおの てつひと	Ōno Tetsuto	Ōno Tetsuhito	verified-update	https://ci.nii.ac.jp/ncid/BD08024529 https://id.ndl.go.jp/auth/ndlna/001164045	当該著作の著者典拠、NDL典拠001164045と一致。
okuda-sachiko	奥田 幸子	奥田 幸子			Okuda Sachiko	Okuda Sachiko	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
heo-min	허 민 (Heo Min)	허 민 (Heo Min)			허 민 (Heo Min)	허 민 (Heo Min)	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
tokutomi-kei	徳冨 圭	徳冨 圭			Tokutomi Kei	Tokutomi Kei	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
komatsu-tetsuro	小松 哲郎	小松 哲郎		こまつ てつろう	Komatsu Tetsurō	Komatsu Tetsurō	verified-update	https://aynuitak.at-ninja.jp/ContentsESP.pdf https://id.ndl.go.jp/auth/ndlna/00802770	2号の著者表記KOMACU Tecuroo、55号の追悼記事Komatsu Tetsuroで確認。NDLのテツオ表記は採らない。
miyata-hisako	宮田 久子	宮田 久子			Miyata Hisako	Miyata Hisako	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
hiraishi-kiyotaka	平石 清隆	平石 清隆			Hiraishi Kiyotaka	Hiraishi Kiyotaka	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
p-c4y57k	瀬戸 海惠	瀬戸 海惠					reading-unresolved		著者側の対訳目次にSETO MieとSETO Ŝigekoの両方があり矛盾。
ogawa-masayo	小川 昌代	小川 昌代			Ogawa Masayo	Ogawa Masayo	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
inagaki-katsuhiko	稲垣 克彦	稲垣 克彦			Inagaki Katsuhiko	Inagaki Katsuhiko	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
sawai-harumi	澤井 春美	澤井 春美			Sawai Harumi	Sawai Harumi	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
yoneda-noriyuki	米田 儀行	米田 儀行			Yoneda Noriyuki	Yoneda Noriyuki	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
p-1bk86gi	千口 昇	千口 昇		せんぐち のぼる		Senguchi Noboru	verified-update	https://aynuitak.at-ninja.jp/ContentsESP.pdf	42号の著者表記SENGUCxI Noboru。
yae-masako	八重 昌子	八重 昌子			Yae Masako	Yae Masako	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
maruno-kazuko	丸野 和子	丸野 和子			Maruno Kazuko	Maruno Kazuko	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
ota-kamus-okkay	太田 カムㇱオッカイ	太田 カムㇱオッカイ			Ōta Kamus Okkay	Ōta Kamus Okkay	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
matsuno-ayaka	松野 綾香	松野 綾香			Matsuno Ayaka	Matsuno Ayaka	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
isobe-etsuko	磯部 恵津子	磯部 恵津子			Isobe Etsuko	Isobe Etsuko	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
tazawa-takashi	田澤 崇	田澤 崇			Tazawa Takashi	Tazawa Takashi	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
narita-hidetoshi	成田 英敏	成田 英敏			Narita Hidetoshi	Narita Hidetoshi	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
katayama-tatsumine	片山 龍峯	片山 龍峯			Katayama Tatsumine	Katayama Tatsumine	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
kanno-yuko	菅野 由布子	菅野 由布子			Kanno Yūko	Kanno Yūko	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
nabesawa-motozo	鍋沢 元蔵	鍋沢 元蔵		なべさわ もとぞう	Nabesawa Motozō	Nabesawa Motozō	verified-update	https://id.ndl.go.jp/auth/ndlna/00049485	既存の人物同定で照合したNDL典拠の読み。
orita-suteno	織田 ステノ	織田 ステノ			Suteno Orita	Suteno Orita	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
ueda-toshi	上田 トシ	上田 トシ			Ueda Toshi	Ueda Toshi	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
stephanie	ステファニー	ステファニー			Stephanie	Stephanie	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
rikkoppe	リッコッペ	リッコッペ			Rikkoppe	Rikkoppe	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
penrek	ペンレㇰ	ペンレㇰ			Penrek	Penrek	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
retannay	レタンナイ	レタンナイ			Retannay	Retannay	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
keci	ケチ	ケチ			Keci	Keci	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
rariw	ラリウ	ラリウ			Rariw	Rariw	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
kuwanno	クワンノ	クワンノ			Kuwanno	Kuwanno	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
sicchari	シッチャリ	シッチャリ			Sicchari	Sicchari	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
toyokawa-yoko	豊川 容子	豊川 容子			Toyokawa Yōko	Toyokawa Yōko	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
poronay	ポロナイ	ポロナイ			Poronay	Poronay	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
kuzuno-tatsujiro	葛野 辰次郎	葛野 辰次郎		くずの たつじろう	Tatsujirō Kuzuno	Tatsujirō Kuzuno	verified-update	https://id.ndl.go.jp/auth/ndlna/00140069	姓名と生年が一致するNDL典拠の読み。
kaizawa-turushino	貝澤 とぅるしの	貝澤 とぅるしの			Kaizawa Turushino	Kaizawa Turushino	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
hirame-yoshi	平目 よし	平目 よし			Hirame Yoshi	Hirame Yoshi	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
kurokawa-teshime	黒川 てしめ	黒川 てしめ			Kurokawa Teshime	Kurokawa Teshime	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
nabesawa-nepuki	鍋澤 ねぷき	鍋澤 ねぷき			Nabesawa Nepuki	Nabesawa Nepuki	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
matsushima-tomi	松島 トミ	松島 トミ			Matsushima Tomi	Matsushima Tomi	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
ogawa-shigeno	小川 シゲノ	小川 シゲノ			Ogawa Shigeno	Ogawa Shigeno	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
toshima-taneranke	遠島 タネランケ	遠島 タネランケ			Tōshima Taneranke	Tōshima Taneranke	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
sawai-tomeno	沢井 トメノ	沢井 トメノ			Sawai Tomeno	Sawai Tomeno	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
sean-lee	Sean Lee	Sean Lee			Sean Lee	Sean Lee	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
toshikazu-hasegawa	Toshikazu Hasegawa	Toshikazu Hasegawa			Toshikazu Hasegawa	Toshikazu Hasegawa	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
yukio-dodo	Yukio Dodo	Yukio Dodo			Yukio Dodo	Yukio Dodo	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
kylie-martin	Kylie Martin	Kylie Martin			Kylie Martin	Kylie Martin	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
tsunehiko-hanihara	Tsunehiko Hanihara	Tsunehiko Hanihara			Tsunehiko Hanihara	Tsunehiko Hanihara	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
emiko-ohnuki-tierney	Emiko Ohnuki‐Tierney	Emiko Ohnuki‐Tierney			Emiko Ohnuki‐Tierney	Emiko Ohnuki‐Tierney	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
michele-m-mason	Michele M. Mason	Michele M. Mason			Michele M. Mason	Michele M. Mason	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
ishida-hajime	石田 肇	石田 肇		いしだ はじめ	Ishida Hajime	Ishida Hajime	verified-update	https://id.ndl.go.jp/auth/ndlna/01240181	既存の人物同定で照合したNDL典拠の読み。
jose-andres-alonso-de-la-fuente	José Andrés Alonso de la Fuente	José Andrés Alonso de la Fuente			José Andrés Alonso de la Fuente	José Andrés Alonso de la Fuente	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
masui-fumito	桝井 文人	桝井 文人			Masui Fumito	Masui Fumito	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
georgina-stevens	Georgina Stevens	Georgina Stevens			Georgina Stevens	Georgina Stevens	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
xanat-vargas-meza	Xanat Vargas Meza	Xanat Vargas Meza			Xanat Vargas Meza	Xanat Vargas Meza	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
yoichi-ochiai	Yoichi Ochiai	Yoichi Ochiai			Yoichi Ochiai	Yoichi Ochiai	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
fred-c-c-peng	Fred C.C. Peng	Fred C.C. Peng			Fred C.C. Peng	Fred C.C. Peng	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
justin-r-hunter	Justin R. Hunter	Justin R. Hunter			Justin R. Hunter	Justin R. Hunter	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
alfred-f-majewicz	Alfred F. Majewicz	Alfred F. Majewicz			Alfred F. Majewicz	Alfred F. Majewicz	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
kagami-akikatsu	鏡味 明克	鏡味 明克		かがみ あきかつ	Kagami Akikatsu	Kagami Akikatsu	verified-update	https://id.ndl.go.jp/auth/ndlna/00024686	姓名と生年が一致するNDL典拠の読み。
hirano-katsuya	平野 克弥	平野 克弥		ひらの かつや	Hirano Katsuya	Hirano Katsuya	verified-update	https://id.ndl.go.jp/auth/ndlna/01131179	既存の人物同定で照合したNDL典拠の読み。
wawat-rahwati	Wawat Rahwati	Wawat Rahwati			Wawat Rahwati	Wawat Rahwati	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
noriaki-ohgita	Noriaki Ohgita	Noriaki Ohgita			Noriaki Ohgita	Noriaki Ohgita	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
vasilii-v-shchepkin	Vasilii V. Shchepkin	Vasilii V. Shchepkin			Vasilii V. Shchepkin	Vasilii V. Shchepkin	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
tatsiana-tsagelnik	Tatsiana Tsagelnik	Tatsiana Tsagelnik			Tatsiana Tsagelnik	Tatsiana Tsagelnik	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
shiraishi-hidetoshi	白石 英才	白石 英才			Shiraishi Hidetoshi	Shiraishi Hidetoshi	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
masato-mimura	Masato Mimura	Masato Mimura			Masato Mimura	Masato Mimura	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
tatsuya-kawahara	河原 達也	河原 達也		かわはら たつや	Tatsuya Kawahara	Tatsuya Kawahara	verified-update	https://id.ndl.go.jp/auth/ndlna/01017710	姓名と生年が一致するNDL典拠の読み。
yamada-takako	山田 孝子	山田 孝子		やまだ たかこ	Yamada Takako	Yamada Takako	verified-update	https://id.ndl.go.jp/auth/ndlna/00360835	既存の人物同定で照合したNDL典拠の読み。
p-yrdqvb	Е. С. Чекункова	Е. С. Чекункова			Е. С. Чекункова	Е. С. Чекункова	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
patrick-heinrich	Patrick Heinrich	Patrick Heinrich			Patrick Heinrich	Patrick Heinrich	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
mark-winchester	Mark Winchester	Mark Winchester			Mark Winchester	Mark Winchester	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
ivan-brenes	Ivan Brenes	Ivan Brenes			Ivan Brenes	Ivan Brenes	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
kruzenshtern-ivan-fedorovich-1770-1846	Kruzenshtern, Ivan Fedorovich, 1770-1846	Kruzenshtern, Ivan Fedorovich, 1770-1846			Kruzenshtern, Ivan Fedorovich, 1770-1846	Kruzenshtern, Ivan Fedorovich, 1770-1846	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
davydov-gavriil-ivanovich-1784-1809	Davydov, Gavriil Ivanovich, 1784-1809	Davydov, Gavriil Ivanovich, 1784-1809			Davydov, Gavriil Ivanovich, 1784-1809	Davydov, Gavriil Ivanovich, 1784-1809	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
carl-etter	Carl Etter	Carl Etter			Carl Etter	Carl Etter	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
basil-hall-chamberlain	Basil Hall Chamberlain	Basil Hall Chamberlain			Basil Hall Chamberlain	Basil Hall Chamberlain	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
p-ay1sl9	飯野 正典	飯野 正典		いいの まさのり		Iino Masanori	verified-update	https://id.ndl.go.jp/auth/ndlna/00211070	既存の人物同定で照合したNDL典拠の読み。
chiri-takanaka	知里 高央	知里 高央		ちり たかなか	Chiri Takanaka	Chiri Takanaka	verified-update	https://id.ndl.go.jp/auth/ndlna/00084155	既存の人物同定で照合したNDL典拠の読み。
yokoyama-takao	横山 孝雄	横山 孝雄		よこやま たかお	Takao Yokoyama	Takao Yokoyama	verified-update	https://id.ndl.go.jp/auth/ndlna/00123795	姓名と生年が一致するNDL典拠の読み。
chiri-mutsumi	知里 むつみ	知里 むつみ		ちり むつみ	Mutsumi Yokoyama	Mutsumi Yokoyama	verified-update	https://id.ndl.go.jp/auth/ndlna/00184658	姓名と生年が一致するNDL典拠の読み。
isobe-seiichi	礒部 精一	礒部 精一			Isobe Seiichi	Isobe Seiichi	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
yamaji-hiroaki	山路 広明	山路 広明			Yamaji Hiroaki	Yamaji Hiroaki	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
kubodera-itsuhiko	久保寺 逸彦	久保寺 逸彦		くぼでら いつひこ	Kubodera Itsuhiko	Kubodera Itsuhiko	verified-update	https://id.ndl.go.jp/auth/ndlna/00036682	姓名と生年が一致するNDL典拠の読み。
sasaki-kotaro	佐々木 弘太郎	佐々木 弘太郎		ささき こうたろう	Sasaki Kōtarō	Sasaki Kōtarō	verified-update	https://id.ndl.go.jp/auth/ndlna/00067381	既存の人物同定で照合したNDL典拠の読み。
otomo-yukio	大友 幸男	大友 幸男		おおとも ゆきお	Ōtomo Yukio	Ōtomo Yukio	verified-update	https://id.ndl.go.jp/auth/ndlna/00367668	既存の人物同定で照合したNDL典拠の読み。
okamura-kichiemon	岡村 吉右衛門	岡村 吉右衛門		おかむら きちえもん	Kichiemon Okamura	Kichiemon Okamura	verified-update	https://id.ndl.go.jp/auth/ndlna/00059906	姓名と生年が一致するNDL典拠の読み。
p-f77x97	北道 邦彦	北道 邦彦		きたみち くにひこ		Kitamichi Kunihiko	verified-update	https://id.ndl.go.jp/auth/ndlna/00794881	既存の人物同定で照合したNDL典拠の読み。
p-1wrmcss	立石 久雄	立石 久雄		たていし ひさお		Tateishi Hisao	verified-update	https://id.ndl.go.jp/auth/ndlna/00204946	既存の人物同定で照合したNDL典拠の読み。
keira-mitsunori	計良 光範	計良 光範		けいら みつのり	Keira Mitsunori	Keira Mitsunori	verified-update	https://id.ndl.go.jp/auth/ndlna/00395366	既存の人物同定で照合したNDL典拠の読み。
haginaka-mie	萩中 美枝	萩中 美枝		はぎなか みえ	Haginaka Mie	Haginaka Mie	verified-update	https://id.ndl.go.jp/auth/ndlna/00110331	姓名と生年が一致するNDL典拠の読み。
kondo-kyojiro	近藤 鏡二郎	近藤 鏡二郎		こんどう きょうじろう	Kondō Kyōjirō	Kondō Kyōjirō	verified-update	https://id.ndl.go.jp/auth/ndlna/00035058	姓名と生年が一致するNDL典拠の読み。
kosaka-yosuke	小坂 洋右	小坂 洋右		こさか ようすけ	Yōsuke Kosaka	Yōsuke Kosaka	verified-update	https://id.ndl.go.jp/auth/ndlna/00253398	姓名と生年が一致するNDL典拠の読み。
matsuyoshi-sadao	松好 貞夫	松好 貞夫		まつよし さだお	Sadao Matsuyoshi	Sadao Matsuyoshi	verified-update	https://id.ndl.go.jp/auth/ndlna/00042826	姓名と生年が一致するNDL典拠の読み。
arakida-iehisa	荒木田 家寿	荒木田 家寿		あらきだ いえひさ	Arakida Iehisa	Arakida Iehisa	verified-update	https://id.ndl.go.jp/auth/ndlna/00003041	既存の人物同定で照合したNDL典拠の読み。
p-1h7mpe9	下川 苔地	下川 苔地		しもかわ たいち		Shimokawa Taichi	verified-update	https://id.ndl.go.jp/auth/ndlna/00692746	登録著作と同じ著作を出典とするNDL典拠の読み。
p-y0a5qq	四辻 一朗	四辻 一朗		よつじ いちろう		Yotsuji Ichiro	verified-update	https://id.ndl.go.jp/auth/ndlna/00098209	既存の人物同定で照合したNDL典拠の読み。
kawai-raseki	河合 裸石	河合 裸石		かわい らせき	Raseki Kawai	Raseki Kawai	verified-update	https://id.ndl.go.jp/auth/ndlna/00028959	姓名と生年が一致するNDL典拠の読み。
jinbo-kotora	神保 小虎	神保 小虎		じんぼ ことら	Jinbo Kotora	Jinbo Kotora	verified-update	https://id.ndl.go.jp/auth/ndlna/00098567	姓名と生年が一致するNDL典拠の読み。
yoshida-iwao	吉田 巌	吉田 巌		よしだ いわお	Yoshida Iwao	Yoshida Iwao	verified-update	https://id.ndl.go.jp/auth/ndlna/00096802	既存の人物同定で照合したNDL典拠の読み。
kobayashi-masao	小林 正雄	小林 正雄		こばやし まさお	Masao Kobayashi	Masao Kobayashi	verified-update	https://id.ndl.go.jp/auth/ndlna/00033225	既存の人物同定で照合したNDL典拠の読み。
shiga-setsuko	志賀 雪湖	志賀 雪湖		しが せつこ	Shiga Setsuko	Shiga Setsuko	verified-update	https://id.ndl.go.jp/auth/ndlna/00726686	登録著作と同じ著作を出典とするNDL典拠の読み。
mark-k-watson	Mark K. Watson	Mark K. Watson			Mark K. Watson	Mark K. Watson	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
john-c-maher	マーハ ジョン C.	マーハ ジョン C.			John C. Maher	John C. Maher	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
gayman-jeffry	Jeffry Gayman	Jeffry Gayman			Jeffry Gayman	Jeffry Gayman	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
bronis-aw-pi-sudski	Bronisław Piłsudski	Bronisław Piłsudski			Bronisław Piłsudski	Bronisław Piłsudski	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
maruyama-hiroshi	丸山 博	丸山 博			Maruyama Hiroshi	Maruyama Hiroshi	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
naohiro-nakamura	Naohiro Nakamura	Naohiro Nakamura			Naohiro Nakamura	Naohiro Nakamura	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
richard-w-howell	Richard W. Howell	Richard W. Howell			Richard W. Howell	Richard W. Howell	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
takayuki-okazaki	Takayuki Okazaki	Takayuki Okazaki			Takayuki Okazaki	Takayuki Okazaki	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
josef-kreiner	クライナー ヨーゼフ	クライナー ヨーゼフ			Josef Kreiner	Josef Kreiner	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
nana-sato-rossberg	佐藤 ロスベアグ ナナ	佐藤 ロスベアグ ナナ			Nana Sato-Rossberg	Nana Sato-Rossberg	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
minako-sakata	坂田 美奈子	坂田 美奈子		さかた みなこ	Sakata Minako	Sakata Minako	verified-update	https://id.ndl.go.jp/auth/ndlna/001092869	既存の人物同定で照合したNDL典拠の読み。
takeshi-kimura	Takeshi Kimura	Takeshi Kimura			Takeshi Kimura	Takeshi Kimura	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
jennifer-teeter	Jennifer Teeter	Jennifer Teeter			Jennifer Teeter	Jennifer Teeter	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
saana-santalahti	Saana Santalahti	Saana Santalahti			Saana Santalahti	Saana Santalahti	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
george-simeon	George Simeon	George Simeon			George Simeon	George Simeon	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
kirsten-refsing	Kirsten Refsing	Kirsten Refsing			Kirsten Refsing	Kirsten Refsing	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
moses-osamu-baba	Moses Osamu Baba	Moses Osamu Baba			Moses Osamu Baba	Moses Osamu Baba	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
yoko-tanabe	Yoko Tanabe	Yoko Tanabe			Yoko Tanabe	Yoko Tanabe	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
kenji-araki	荒木健治	荒木健治		あらき けんじ	Araki Kenji	Araki Kenji	verified-update	https://id.ndl.go.jp/auth/ndlna/00980282	既存の人物同定で照合したNDL典拠の読み。
koji-tochinai	栃内 香次	栃内 香次		とちない こうじ	Kōji Tochinai	Kōji Tochinai	verified-update	https://id.ndl.go.jp/auth/ndlna/00085615	姓名と生年が一致するNDL典拠の読み。
donald-l-philippi	Donald L. Philippi	Donald L. Philippi			Donald L. Philippi	Donald L. Philippi	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
kiyoteru-tsutsui	Kiyoteru Tsutsui	Kiyoteru Tsutsui			Kiyoteru Tsutsui	Kiyoteru Tsutsui	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
johannes-rahder	Johannes Rahder	Johannes Rahder			Johannes Rahder	Johannes Rahder	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
mara-miller	Mara Miller	Mara Miller			Mara Miller	Mara Miller	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
yamasaki-koji	山崎 幸治	山崎 幸治		やまさき こうじ	Yamasaki Koji	Yamasaki Koji	verified-update	https://id.ndl.go.jp/auth/ndlna/001109228	既存の人物同定で照合したNDL典拠の読み。
tresi-nonno	Tresi Nonno	Tresi Nonno			Tresi Nonno	Tresi Nonno	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
theresa-savage	Theresa Savage	Theresa Savage			Theresa Savage	Theresa Savage	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
john-kupchik	John Kupchik	John Kupchik			John Kupchik	John Kupchik	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
yuko-kameda	Yuko Kameda	Yuko Kameda			Yuko Kameda	Yuko Kameda	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
hayato-kasuga	Hayato Kasuga	Hayato Kasuga			Hayato Kasuga	Hayato Kasuga	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
yumiko-ohara	Yumiko Ohara	Yumiko Ohara			Yumiko Ohara	Yumiko Ohara	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
v-m-alpatov	V. M. Alpatov	V. M. Alpatov			V. M. Alpatov	V. M. Alpatov	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
sarah-m-strong	Sarah M. Strong	Sarah M. Strong			Sarah M. Strong	Sarah M. Strong	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
hans-dieter-olschleger	Hans Dieter Ölschleger	Hans Dieter Ölschleger			Hans Dieter Ölschleger	Hans Dieter Ölschleger	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
david-l-howell	David L. Howell	David L. Howell			David L. Howell	David L. Howell	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
mark-j-hudson	Mark J. Hudson	Mark J. Hudson			Mark J. Hudson	Mark J. Hudson	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
sunazawa-kayo	Sunazawa Kayo	Sunazawa Kayo			Sunazawa Kayo	Sunazawa Kayo	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
